"ed,rs7d",Education,Information Services,Education Library - Reserve (7 day loan),,EDIS,A,ZZ,Education Library - Reserve (7 day loan),
"ed,rss",Education,Information Services,Education Library - Reserve (3 hour loan),,EDIS,A,ZZ,Education Library - Reserve (3 hour loan),
"ed,so",Education,1st Floor,Education Library - Software,,ED1,A,ZZ,Education Library - Software,
"ed,sp",Education,1st Floor,Education Library - Poster Collection - Floor 1,,ED1,A,ZZ,Education Library - Poster Collection - Floor 1,
"ed,ta",Education,2nd Floor,Education Library - Teaching Aids - Floor 2,,ED2,A,ZZ,Education Library - Teaching Aids - Floor 2,
"ed,tr",Education,2nd Floor,Education Library - Teaching Collection - Floor 2,,ED2,A,ZZ,Education Library - Teaching Collection - Floor 2,
"ed,tx",Education,2nd Floor,Education Library - Historic Textbooks - Floor 2,,ED2,A,ZZ,Education Library - Historic Textbooks - Floor 2,
"ed,v",Education,1st Floor,Education Library - Video Collection - Floor 1,,ED1,A,ZZ,Education Library - Video Collection - Floor 1,
ed,Education,Information Services,Reserve Item,RESERVE,EDIS,A,ZZ,Special Case - QCAT did not send a call number,
ll,Law,2nd Floor,Lederman Law Library,,LL2,A,ZZ,Law,Lederman Law Library
LL-ACQ,Law,Information Services,LAW ACQ - DO NOT USE,,LLIS,A,ZZ,LAW ACQ - DO NOT USE,
LL-ACQLEG,Law,Information Services,LAW ACQ - LEGISLATIVE,,LLIS,A,ZZ,LAW ACQ - LEGISLATIVE,
LL-ACQLL,Law,Information Services,LAW ACQ - LOOSELEAF,,LLIS,A,ZZ,LAW ACQ - LOOSELEAF,
LL-ACQM,Law,Information Services,LAW ACQ - MONOGRAPHS,,LLIS,A,ZZ,LAW ACQ - MONOGRAPHS,
LL-ACQPER,Law,Information Services,LAW ACQ - PERIODICALS,,LLIS,A,ZZ,LAW ACQ - PERIODICALS,
LL-ACQREPT,Law,Information Services,LAW ACQ - LAW REPORTS,,LLIS,A,ZZ,LAW ACQ - LAW REPORTS,
LL-ACQSER,Law,Information Services,LAW ACQ - SERIALS,,LLIS,A,ZZ,LAW ACQ - SERIALS,
LL-CIRC,Law,Information Services,Law Library Circulation,,LLIS,A,ZZ,Law Library Circulation,
LL-SLFCHK,Law,Information Services,Self Check Out,,LLIS,A,ZZ,SELF CHECK CIRC DESK (LL),
"ll,7day",Law,Information Services,Law Library - Reserve (7 day loan),,LLIS,A,ZZ,Law Reserve 7 day,Law Library - Reserve (7 day loan)
"ll,bd",Law,Information Services,Lederman Law Library - At Bindery,,LLIS,A,ZZ,Lederman Law Library - At Bindery,
"ll,confrm",Law,Information Services,Lederman Law Library - The Conference Room Collection,,LLIS,A,ZZ,Law Conference Room,Lederman Law Library - The Conference Room Collection
"ll,fo",Law,1st Floor,Lederman Law Library - Folio Section,,LL1,A,ZZ,Lederman Law Library - Folio Section,
"ll,int",Law,Information Services,*Web - access restricted to the Law Library only,,LLIS,A,ZZ,Internet LawLib only,*Web - access restricted to the Law Library only
"ll,mf",Stauffer,Lower Level,Lederman Law Library - Microforms,,SLLL,A,ZZ,Lederman Law Library - Microforms,
"ll,myst",Law,2nd Floor,Lederman Law Library - Mystery Collection,,LL2,A,ZZ,Lederman Law Library - Mystery Collection,
"ll,n",Law,1st Floor,Lederman Law Library (non-circulating),,LL1,A,ZZ,Information Services,Lederman Law Library (non-circulating)
"ll,network",Law,Information Services,Lederman Law Library - Networked CD,,LLIS,A,ZZ,Lederman Law Library - Networked CD,
"ll,oldclas",Law,2nd Floor,Lederman Law Library - Old Classification Section,,LL2,A,ZZ,Lederman Law Library - Old Classification Section,
